Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
Greece,2023,1.41,128.98,6.01,,0.73,0.71,2.81,26.7,6.57,10.05,659.3,122.08
Hungary,2014,,302.54,,,1.31,0.03,3.22,19.78,2.3,7.83,1082.67,61.99
Hungary,2015,,290.14,,,2.05,0.11,3.86,14.61,2.45,17.11,1129.57,61.16
Hungary,2016,9.85,,11.85,457.76,0.93,0.05,6.08,11.23,,6.1,952.06,58.57
Hungary,2017,10.26,,13.07,259.14,0.87,0.03,6.0,8.58,,6.0,819.95,65.96
Hungary,2018,19.13,,22.89,215.53,0.85,0.03,5.53,7.12,,5.53,656.45,82.03
Hungary,2019,3.96,,18.48,173.3,0.59,0.05,3.9,6.48,,3.94,582.92,66.94
Hungary,2020,20.73,,24.33,158.16,0.79,0.11,5.16,6.22,,5.16,516.31,66.57
Hungary,2021,63.18,,66.96,158.86,0.69,0.04,4.86,5.56,,4.86,436.02,71.64
Hungary,2022,8.44,,11.47,215.13,0.88,0.07,6.06,5.5,,6.06,501.76,76.56
Hungary,2023,11.23,,22.05,,0.72,0.11,5.59,5.53,,5.59,530.58,68.64
Iceland,2014,,350.97,,,0.61,,39.61,15.66,12.59,128.66,1126.9,721.59
Iceland,2015,,386.81,,,0.91,,54.09,16.1,13.67,134.31,1225.16,571.25
Iceland,2016,,312.15,,,0.3,,55.63,15.04,13.53,149.76,1044.12,555.14
Iceland,2017,,313.29,,136.84,0.89,,62.95,14.48,20.39,140.68,1129.6,641.05
Iceland,2018,,369.06,,154.11,0.57,,75.48,22.1,11.48,158.13,942.75,642.85
Iceland,2019,,325.22,,166.95,0.28,,60.23,15.13,19.89,184.32,973.69,608.98
Iceland,2020,,290.83,,184.82,0.82,,43.39,20.6,13.18,142.8,962.01,475.1
Iceland,2021,,284.17,,173.81,0.54,,57.21,16.27,15.46,175.17,1019.54,457.17
Iceland,2022,,288.64,,145.12,1.06,,68.04,17.54,21.79,165.32,907.38,454.49
Iceland,2023,,248.35,,,1.29,,45.39,26.05,18.05,129.98,935.89,466.01
Ireland,2014,,596.81,,,1.15,1.3,10.35,57.14,29.84,40.19,1673.6,342.03
Ireland,2015,,549.68,,,0.64,1.97,14.24,51.82,30.02,49.3,1554.55,311.12
Ireland,2016,,382.58,,103.72,0.72,1.57,14.73,41.36,32.44,53.85,1312.17,323.93
Ireland,2017,,392.21,0.08,82.43,0.82,1.65,17.54,42.18,35.37,52.9,1398.78,340.0
Ireland,2018,,344.09,0.12,94.24,0.81,1.76,21.32,45.11,36.77,58.09,1334.74,367.13
Ireland,2019,,334.71,0.1,114.9,0.65,1.77,21.72,41.52,36.56,58.28,1333.64,419.96
Ireland,2020,,217.13,0.16,118.85,0.64,2.14,20.87,27.95,31.5,52.37,974.15,442.21
Ireland,2021,,169.43,0.18,303.86,0.43,1.93,21.91,23.21,37.12,59.03,879.69,378.52
Ireland,2022,,183.6,0.17,202.69,0.87,1.92,21.36,27.83,40.51,61.87,1209.77,322.97
Ireland,2023,,181.43,0.04,,0.64,1.99,19.05,30.69,36.76,55.81,1315.67,316.79
Italy,2014,,,,,0.8,0.49,,64.55,7.0,7.82,2167.27,53.83
Italy,2015,,,,,0.77,0.47,,57.71,6.58,7.42,2021.7,52.28
Italy,2016,0.87,,35.12,300.18,0.67,0.32,,55.09,,7.44,1867.31,58.0
Italy,2017,0.88,,5.9,320.3,0.62,0.33,,51.44,,8.44,1765.93,63.28
